26781;0;17;43;67;185
36954;8;15;15;54;54
32985;8;11;11;29;41
4135;6;6;6;6;6
2158;0;6;6;16;16
2850;0;4;10;13;13
36440;0;0;0;0;46
27001;0;0;0;4;4
32511;0;0;6;16;67
36967;0;0;0;10;10
2679;0;0;9;9;9
2041;0;0;0;21;31
28820;0;17;33;62;62
36797;10;16;23;52;99
29980;0;9;9;21;89
2047;0;5;6;34;43
24916;0;3;15;52;97
32344;2;3;3;41;88
1828;1;1;1;2;2
27003;0;0;0;7;8
2673;0;0;0;7;12
26576;0;0;0;11;43
34575;0;0;0;5;31
26016;0;0;0;14;72
2861;0;0;0;0;26
28344;0;0;0;0;0
34106;21;33;38;127;250
36947;0;24;50;67;67
32342;2;17;29;31;31
29601;0;16;16;16;30
2996;14;14;14;14;20
35027;6;12;20;32;42
2272;12;12;18;18;45
2482;4;11;11;11;11
35502;11;11;11;11;11
32336;0;11;11;11;11
26876;0;10;36;125;204
2760;0;10;10;10;10
32345;2;8;8;47;68
2254;0;7;9;31;44
1822;0;7;7;11;50
2680;0;5;13;29;54
34496;0;0;12;21;21
34506;0;0;0;0;0
34522;0;0;0;0;0
34487;0;0;0;0;0
34492;0;0;0;0;0
2807;0;0;0;0;0
33540;0;0;0;0;21
2260;0;0;0;34;49
28812;0;0;0;0;0
2231;0;0;7;7;7
2219;0;0;4;4;4
34580;0;0;0;28;64
2412;0;0;0;12;23
32951;0;0;14;49;74
2478;0;0;0;11;12
35659;0;0;0;62;88
34105;22;26;26;26;79
2273;12;25;30;32;43
36917;0;24;31;31;31
33455;7;23;23;23;52
25361;16;18;18;18;18
26778;0;17;43;80;115
32600;0;15;21;45;150
26690;0;14;14;69;73
37021;0;13;24;24;24
34592;2;11;14;16;16
26262;11;11;11;11;19
26858;1;10;10;38;58
37022;0;5;14;45;45
2473;4;5;5;5;14
2379;0;3;9;11;11
2534;1;3;10;12;15
2736;0;3;13;13;25
35630;0;0;0;21;46
6592;0;0;0;1;53
2597;0;0;2;22;22
2766;0;0;0;10;10
2313;0;0;5;9;9
38319;0;0;0;0;0
36455;0;0;0;19;65
33424;0;0;7;31;66
2842;0;0;0;43;56
2483;0;0;0;0;0
2480;0;0;0;0;0
34597;0;0;0;0;13
28404;0;0;0;1;59
2279;0;0;7;28;39
28436;8;31;43;66;100
28437;8;31;31;33;97
9366;7;30;46;46;93
36382;0;27;45;72;190
36367;0;27;53;100;100
28405;2;26;38;64;141
24850;22;25;25;25;25
35668;8;25;42;101;134
24895;0;22;32;47;59
2606;20;20;29;41;44
33425;7;15;15;15;58
34614;0;15;33;61;61
36513;5;14;14;48;130
28402;8;14;15;16;86
37018;5;11;11;11;11
33507;0;10;36;39;62
27406;0;7;7;15;23
37020;6;6;6;6;6
2683;0;6;13;55;55
28252;0;4;6;18;40
28400;0;4;15;30;108
22722;0;3;9;9;61
26140;1;1;10;24;28
38062;0;0;0;0;0
28226;0;0;0;0;0
27940;0;0;0;0;0
28062;0;0;0;0;0
37115;0;0;0;0;0
36502;0;0;5;5;10
36505;0;0;0;0;0
37406;0;0;0;0;0
36514;0;0;5;27;85
36495;0;0;5;5;38
36509;0;0;7;27;89
36477;0;0;0;0;87
36483;0;0;0;0;0
36498;0;0;2;2;2
37411;0;0;0;0;0
36375;0;0;0;27;64
37278;0;0;0;54;54
1964;0;0;0;0;7
6597;0;0;0;47;102
2563;0;0;7;7;7
2282;0;0;7;14;33
33479;0;0;0;0;0
2467;0;0;0;0;0
2487;0;0;0;6;16
2812;0;0;0;8;8
28401;0;0;16;24;96
34548;0;0;0;0;0
20621;0;0;0;31;84
32978;12;37;47;76;96
25316;22;26;26;26;26
32405;1;22;31;31;31
37029;5;19;19;65;65
32986;8;18;29;29;59
37024;0;16;29;42;42
35254;0;16;16;49;91
2844;0;12;16;31;63
20618;10;10;10;13;16
26693;0;10;10;27;57
5563;0;9;9;36;69
2713;0;8;8;13;13
28435;2;8;20;27;114
2739;0;7;14;14;22
33573;7;7;7;33;92
2307;6;6;8;8;20
2559;1;5;5;5;5
28162;0;4;4;11;15
24921;0;4;9;22;54
2860;0;4;10;10;18
2386;0;3;3;3;3
26998;0;0;0;0;21
28359;0;0;5;17;26
26832;0;0;0;0;4
2208;0;0;0;0;0
2749;0;0;0;6;11
36935;0;0;0;0;0
28219;0;0;0;0;0
2420;0;0;0;7;19
2826;0;0;0;0;0
36300;0;0;0;0;0
26139;0;0;0;5;18
3110;0;0;23;72;85
32950;0;0;1;11;47
36800;6;35;61;125;178
28438;11;29;29;30;99
21268;8;20;20;20;20
11273;8;20;21;21;21
28705;9;20;31;42;99
33398;0;18;41;59;74
2671;0;10;10;10;15
2334;0;10;18;18;44
37189;0;9;23;43;43
2616;0;6;6;11;16
9798;0;4;4;13;32
11279;0;2;9;9;15
32895;0;0;0;0;0
29425;0;0;0;0;0
2551;0;0;8;21;33
34576;0;0;2;25;45
26575;0;0;0;0;0
2816;0;0;0;30;53
36304;0;0;0;11;22
2143;0;0;0;0;0
2304;0;0;0;10;10
2971;0;0;6;18;20
12160;0;0;0;0;0
32993;0;0;7;7;7
2865;0;0;0;2;11
28823;18;27;46;47;82
33795;11;21;42;56;75
26836;0;20;43;44;51
26244;0;20;46;54;111
